class,n,R,s,totalValue,totalWeight,processingTime
00Uncorrelated,n00050,R10000,s060.kp,185718,130089,0.0
00Uncorrelated,n00050,R10000,s061.kp,177255,122610,0.0
00Uncorrelated,n00050,R10000,s062.kp,200803,120372,0.0
00Uncorrelated,n00050,R10000,s063.kp,206207,120207,0.0
00Uncorrelated,n00050,R10000,s064.kp,194173,129804,0.0
00Uncorrelated,n00050,R10000,s065.kp,201609,132876,0.0
00Uncorrelated,n00050,R10000,s066.kp,206952,116715,0.0
00Uncorrelated,n00050,R10000,s067.kp,196638,136686,0.000997304916381836
00Uncorrelated,n00050,R10000,s068.kp,211761,129697,0.0
00Uncorrelated,n00050,R10000,s069.kp,185279,128300,0.0
00Uncorrelated,n00050,R10000,s070.kp,224205,116638,0.0
00Uncorrelated,n00050,R10000,s071.kp,170319,122997,0.000997781753540039
00Uncorrelated,n00050,R10000,s072.kp,201797,129117,0.0009980201721191406
00Uncorrelated,n00050,R10000,s073.kp,197741,118289,0.0
00Uncorrelated,n00050,R10000,s074.kp,203486,131107,0.0
00Uncorrelated,n00050,R10000,s075.kp,192031,140063,0.0
00Uncorrelated,n00050,R10000,s076.kp,214659,109888,0.0
00Uncorrelated,n00050,R10000,s077.kp,211474,119769,0.0
00Uncorrelated,n00050,R10000,s078.kp,198116,113070,0.0
00Uncorrelated,n00050,R10000,s079.kp,179802,126008,0.0
00Uncorrelated,n00050,R10000,s080.kp,192724,123515,0.0
00Uncorrelated,n00050,R10000,s081.kp,194619,133063,0.0
00Uncorrelated,n00050,R10000,s082.kp,193577,130622,0.0
00Uncorrelated,n00050,R10000,s083.kp,194310,107482,0.0
00Uncorrelated,n00050,R10000,s084.kp,183242,137682,0.000997304916381836
00Uncorrelated,n00050,R10000,s085.kp,194996,128346,0.0
00Uncorrelated,n00050,R10000,s086.kp,217595,124453,0.0
00Uncorrelated,n00050,R10000,s087.kp,216017,100253,0.0
00Uncorrelated,n00050,R10000,s088.kp,200824,130932,0.0
00Uncorrelated,n00050,R10000,s089.kp,227570,116461,0.0
00Uncorrelated,n00050,R10000,s090.kp,200123,130498,0.0
00Uncorrelated,n00050,R10000,s091.kp,213998,135467,0.0
00Uncorrelated,n00050,R10000,s092.kp,209745,142837,0.0
00Uncorrelated,n00050,R10000,s093.kp,205364,119278,0.0
00Uncorrelated,n00050,R10000,s094.kp,199980,123428,0.0
00Uncorrelated,n00050,R10000,s095.kp,189398,135479,0.0
00Uncorrelated,n00050,R10000,s096.kp,205924,117361,0.0
00Uncorrelated,n00050,R10000,s097.kp,192283,133881,0.0
00Uncorrelated,n00050,R10000,s098.kp,206338,126438,0.0
00Uncorrelated,n00050,R10000,s099.kp,206719,105275,0.0
00Uncorrelated,n00100,R01000,s000.kp,46537,22519,0.0009961128234863281
00Uncorrelated,n00100,R01000,s001.kp,41049,22689,0.0
00Uncorrelated,n00100,R01000,s002.kp,45504,21604,0.0
00Uncorrelated,n00100,R01000,s003.kp,43435,24038,0.0009648799896240234
00Uncorrelated,n00100,R01000,s004.kp,38846,25522,0.0
00Uncorrelated,n00100,R01000,s005.kp,42224,28455,0.0
00Uncorrelated,n00100,R01000,s006.kp,41490,25946,0.0
00Uncorrelated,n00100,R01000,s007.kp,38296,23023,0.0009968280792236328
00Uncorrelated,n00100,R01000,s008.kp,37171,25730,0.0
00Uncorrelated,n00100,R01000,s009.kp,36459,24262,0.0
00Uncorrelated,n00100,R01000,s010.kp,39712,26223,0.0
00Uncorrelated,n00100,R01000,s011.kp,38616,26383,0.0
00Uncorrelated,n00100,R01000,s012.kp,37446,25806,0.0
00Uncorrelated,n00100,R01000,s013.kp,40235,21715,0.0
00Uncorrelated,n00100,R01000,s014.kp,37248,26450,0.0
00Uncorrelated,n00100,R01000,s015.kp,42344,25811,0.0009675025939941406
00Uncorrelated,n00100,R01000,s016.kp,36378,24080,0.0
00Uncorrelated,n00100,R01000,s017.kp,43703,24374,0.0
00Uncorrelated,n00100,R01000,s018.kp,39025,25669,0.0
00Uncorrelated,n00100,R01000,s019.kp,37539,23003,0.0
00Uncorrelated,n00100,R01000,s020.kp,37252,24187,0.0
00Uncorrelated,n00100,R01000,s021.kp,42374,24117,0.0
00Uncorrelated,n00100,R01000,s022.kp,45031,23122,0.0
00Uncorrelated,n00100,R01000,s023.kp,39741,24376,0.0
00Uncorrelated,n00100,R01000,s024.kp,41608,23830,0.0
00Uncorrelated,n00100,R01000,s025.kp,37308,24402,0.0
00Uncorrelated,n00100,R01000,s026.kp,42430,23291,0.0
00Uncorrelated,n00100,R01000,s027.kp,39259,25978,0.0
00Uncorrelated,n00100,R01000,s028.kp,38128,23468,0.0
00Uncorrelated,n00100,R01000,s029.kp,42813,24591,0.0
00Uncorrelated,n00100,R01000,s030.kp,41637,22601,0.0009980201721191406
00Uncorrelated,n00100,R01000,s031.kp,39435,22686,0.0
00Uncorrelated,n00100,R01000,s032.kp,40738,24857,0.0
00Uncorrelated,n00100,R01000,s033.kp,38898,23845,0.0009980201721191406
00Uncorrelated,n00100,R01000,s034.kp,40421,26707,0.0
00Uncorrelated,n00100,R01000,s035.kp,39420,22607,0.0
00Uncorrelated,n00100,R01000,s036.kp,39426,25474,0.0009970664978027344
00Uncorrelated,n00100,R01000,s037.kp,40216,24445,0.0
00Uncorrelated,n00100,R01000,s038.kp,37336,24124,0.0
00Uncorrelated,n00100,R01000,s039.kp,37693,22368,0.0
00Uncorrelated,n00100,R01000,s040.kp,41343,23149,0.0009968280792236328
00Uncorrelated,n00100,R01000,s041.kp,39824,26005,0.0
00Uncorrelated,n00100,R01000,s042.kp,39033,24189,0.0009970664978027344
00Uncorrelated,n00100,R01000,s043.kp,41907,24036,0.00099945068359375
00Uncorrelated,n00100,R01000,s044.kp,38466,24347,0.0
00Uncorrelated,n00100,R01000,s045.kp,40023,27169,0.0
00Uncorrelated,n00100,R01000,s046.kp,37251,24005,0.0
00Uncorrelated,n00100,R01000,s047.kp,40984,24919,0.0
00Uncorrelated,n00100,R01000,s048.kp,39139,24401,0.0
00Uncorrelated,n00100,R01000,s049.kp,40871,23328,0.0
00Uncorrelated,n00100,R01000,s050.kp,41412,22807,0.0
00Uncorrelated,n00100,R01000,s051.kp,45629,26204,0.0
00Uncorrelated,n00100,R01000,s052.kp,40641,26018,0.0
00Uncorrelated,n00100,R01000,s053.kp,37840,24922,0.0
00Uncorrelated,n00100,R01000,s054.kp,43101,22842,0.0
00Uncorrelated,n00100,R01000,s055.kp,38471,25621,0.0
00Uncorrelated,n00100,R01000,s056.kp,35911,24419,0.0
00Uncorrelated,n00100,R01000,s057.kp,41336,22838,0.0
00Uncorrelated,n00100,R01000,s058.kp,39431,23762,0.0
00Uncorrelated,n00100,R01000,s059.kp,43524,23082,0.0
00Uncorrelated,n00100,R01000,s060.kp,39257,22713,0.0
00Uncorrelated,n00100,R01000,s061.kp,38597,24582,0.0
00Uncorrelated,n00100,R01000,s062.kp,40036,24849,0.0
00Uncorrelated,n00100,R01000,s063.kp,40283,22440,0.0
00Uncorrelated,n00100,R01000,s064.kp,40039,23539,0.0
00Uncorrelated,n00100,R01000,s065.kp,39846,26031,0.0
00Uncorrelated,n00100,R01000,s066.kp,38515,25629,0.0009975433349609375
00Uncorrelated,n00100,R01000,s067.kp,40730,24321,0.0
00Uncorrelated,n00100,R01000,s068.kp,42619,25139,0.0
00Uncorrelated,n00100,R01000,s069.kp,39627,24747,0.0
00Uncorrelated,n00100,R01000,s070.kp,41180,24141,0.0
00Uncorrelated,n00100,R01000,s071.kp,36820,24847,0.0
00Uncorrelated,n00100,R01000,s072.kp,41177,24797,0.0
00Uncorrelated,n00100,R01000,s073.kp,38047,23581,0.0
00Uncorrelated,n00100,R01000,s074.kp,42927,25853,0.0
00Uncorrelated,n00100,R01000,s075.kp,42339,23844,0.0
00Uncorrelated,n00100,R01000,s076.kp,39566,24970,0.0
00Uncorrelated,n00100,R01000,s077.kp,40417,26189,0.0
00Uncorrelated,n00100,R01000,s078.kp,37863,25168,0.0
00Uncorrelated,n00100,R01000,s079.kp,39974,24910,0.0009982585906982422
00Uncorrelated,n00100,R01000,s080.kp,39497,26244,0.0
00Uncorrelated,n00100,R01000,s081.kp,42228,22526,0.0
00Uncorrelated,n00100,R01000,s082.kp,40556,26157,0.000997304916381836
00Uncorrelated,n00100,R01000,s083.kp,36854,28984,0.0
00Uncorrelated,n00100,R01000,s084.kp,41161,26351,0.0
00Uncorrelated,n00100,R01000,s085.kp,41455,23336,0.0
00Uncorrelated,n00100,R01000,s086.kp,41685,23742,0.0
00Uncorrelated,n00100,R01000,s087.kp,38094,23480,0.0
00Uncorrelated,n00100,R01000,s088.kp,41189,24401,0.0
00Uncorrelated,n00100,R01000,s089.kp,41562,24536,0.0
00Uncorrelated,n00100,R01000,s090.kp,39946,24605,0.0
00Uncorrelated,n00100,R01000,s091.kp,41949,26286,0.0
00Uncorrelated,n00100,R01000,s092.kp,42837,24023,0.0
00Uncorrelated,n00100,R01000,s093.kp,40291,25158,0.0009894371032714844
00Uncorrelated,n00100,R01000,s094.kp,39115,27984,0.0
00Uncorrelated,n00100,R01000,s095.kp,40814,22764,0.0010004043579101562
00Uncorrelated,n00100,R01000,s096.kp,38321,23062,0.0009975433349609375
00Uncorrelated,n00100,R01000,s097.kp,41138,26549,0.0
00Uncorrelated,n00100,R01000,s098.kp,41429,24705,0.0
00Uncorrelated,n00100,R01000,s099.kp,37048,26649,0.0
00Uncorrelated,n00100,R10000,s000.kp,465424,225212,0.0
00Uncorrelated,n00100,R10000,s001.kp,410173,226599,0.0
00Uncorrelated,n00100,R10000,s002.kp,455227,215945,0.0
00Uncorrelated,n00100,R10000,s003.kp,434159,240141,0.0
00Uncorrelated,n00100,R10000,s004.kp,388270,255258,0.0
00Uncorrelated,n00100,R10000,s005.kp,421993,284297,0.0009982585906982422
00Uncorrelated,n00100,R10000,s006.kp,414605,259150,0.0
00Uncorrelated,n00100,R10000,s007.kp,382659,229935,0.000997781753540039
00Uncorrelated,n00100,R10000,s008.kp,371423,257060,0.0
00Uncorrelated,n00100,R10000,s009.kp,364266,242347,0.0
00Uncorrelated,n00100,R10000,s010.kp,396832,261940,0.0
00Uncorrelated,n00100,R10000,s011.kp,385895,263540,0.0
00Uncorrelated,n00100,R10000,s012.kp,374201,257772,0.0
00Uncorrelated,n00100,R10000,s013.kp,402056,216877,0.0
00Uncorrelated,n00100,R10000,s014.kp,372518,264372,0.0
00Uncorrelated,n00100,R10000,s015.kp,423154,257798,0.0
00Uncorrelated,n00100,R10000,s016.kp,363530,240546,0.0
00Uncorrelated,n00100,R10000,s017.kp,436863,243850,0.0
00Uncorrelated,n00100,R10000,s018.kp,389978,256422,0.0
00Uncorrelated,n00100,R10000,s019.kp,375101,229742,0.0
00Uncorrelated,n00100,R10000,s020.kp,372245,241604,0.0
00Uncorrelated,n00100,R10000,s021.kp,423448,240888,0.0
00Uncorrelated,n00100,R10000,s022.kp,450395,230995,0.0
00Uncorrelated,n00100,R10000,s023.kp,397170,243454,0.0
00Uncorrelated,n00100,R10000,s024.kp,415790,237987,0.0
00Uncorrelated,n00100,R10000,s025.kp,373044,244306,0.0
00Uncorrelated,n00100,R10000,s026.kp,424043,232598,0.0
00Uncorrelated,n00100,R10000,s027.kp,392304,259511,0.0
00Uncorrelated,n00100,R10000,s028.kp,380983,234409,0.0
00Uncorrelated,n00100,R10000,s029.kp,427881,245612,0.0
00Uncorrelated,n00100,R10000,s030.kp,416073,225686,0.0
00Uncorrelated,n00100,R10000,s031.kp,394109,226604,0.0
00Uncorrelated,n00100,R10000,s032.kp,407118,248258,0.0
00Uncorrelated,n00100,R10000,s033.kp,388688,238127,0.0009965896606445312
00Uncorrelated,n00100,R10000,s034.kp,403956,266809,0.0
00Uncorrelated,n00100,R10000,s035.kp,393927,225807,0.0
00Uncorrelated,n00100,R10000,s036.kp,393973,254505,0.0
00Uncorrelated,n00100,R10000,s037.kp,401877,244170,0.0009992122650146484
00Uncorrelated,n00100,R10000,s038.kp,373462,241398,0.0
00Uncorrelated,n00100,R10000,s039.kp,376650,223413,0.0
00Uncorrelated,n00100,R10000,s040.kp,413476,231549,0.0
00Uncorrelated,n00100,R10000,s041.kp,397937,259795,0.0
00Uncorrelated,n00100,R10000,s042.kp,390787,242022,0.0009965896606445312
00Uncorrelated,n00100,R10000,s043.kp,418775,240083,0.0
00Uncorrelated,n00100,R10000,s044.kp,384378,243208,0.0
00Uncorrelated,n00100,R10000,s045.kp,399952,271403,0.0
00Uncorrelated,n00100,R10000,s046.kp,372257,239728,0.0
00Uncorrelated,n00100,R10000,s047.kp,409563,248939,0.0
00Uncorrelated,n00100,R10000,s048.kp,391097,243739,0.0
00Uncorrelated,n00100,R10000,s049.kp,408478,233085,0.0
00Uncorrelated,n00100,R10000,s050.kp,413819,227826,0.0
00Uncorrelated,n00100,R10000,s051.kp,455990,261782,0.0009965896606445312
00Uncorrelated,n00100,R10000,s052.kp,406122,259900,0.0
00Uncorrelated,n00100,R10000,s053.kp,378124,248951,0.0
00Uncorrelated,n00100,R10000,s054.kp,430740,228168,0.000995635986328125
00Uncorrelated,n00100,R10000,s055.kp,384457,255931,0.0
00Uncorrelated,n00100,R10000,s056.kp,358851,243958,0.0009975433349609375
00Uncorrelated,n00100,R10000,s057.kp,413391,228211,0.0
00Uncorrelated,n00100,R10000,s058.kp,394106,237328,0.0
00Uncorrelated,n00100,R10000,s059.kp,435351,230612,0.0
00Uncorrelated,n00100,R10000,s060.kp,392309,226865,0.0
00Uncorrelated,n00100,R10000,s061.kp,385840,245634,0.0
00Uncorrelated,n00100,R10000,s062.kp,400381,248409,0.0
00Uncorrelated,n00100,R10000,s063.kp,402589,224100,0.0
00Uncorrelated,n00100,R10000,s064.kp,400268,235384,0.0
00Uncorrelated,n00100,R10000,s065.kp,398228,260073,0.000997781753540039
00Uncorrelated,n00100,R10000,s066.kp,384871,256023,0.0
00Uncorrelated,n00100,R10000,s067.kp,406993,242950,0.0
00Uncorrelated,n00100,R10000,s068.kp,425869,251097,0.0
00Uncorrelated,n00100,R10000,s069.kp,395971,246973,0.0
00Uncorrelated,n00100,R10000,s070.kp,411539,241142,0.0
00Uncorrelated,n00100,R10000,s071.kp,367962,248179,0.0
00Uncorrelated,n00100,R10000,s072.kp,411496,247796,0.0009963512420654297
00Uncorrelated,n00100,R10000,s073.kp,380201,235528,0.0
00Uncorrelated,n00100,R10000,s074.kp,428978,258244,0.0
00Uncorrelated,n00100,R10000,s075.kp,423420,239416,0.0
00Uncorrelated,n00100,R10000,s076.kp,395388,249748,0.0
00Uncorrelated,n00100,R10000,s077.kp,403914,261612,0.0
00Uncorrelated,n00100,R10000,s078.kp,378365,251438,0.0
00Uncorrelated,n00100,R10000,s079.kp,399453,248799,0.0
00Uncorrelated,n00100,R10000,s080.kp,394661,262147,0.0
00Uncorrelated,n00100,R10000,s081.kp,422362,225157,0.0
00Uncorrelated,n00100,R10000,s082.kp,405270,261273,0.0
00Uncorrelated,n00100,R10000,s083.kp,368239,289568,0.0
00Uncorrelated,n00100,R10000,s084.kp,411329,263223,0.0009982585906982422
00Uncorrelated,n00100,R10000,s085.kp,414484,233309,0.0009968280792236328
00Uncorrelated,n00100,R10000,s086.kp,416546,237145,0.000997781753540039
00Uncorrelated,n00100,R10000,s087.kp,380681,234503,0.0
00Uncorrelated,n00100,R10000,s088.kp,411642,243708,0.0
00Uncorrelated,n00100,R10000,s089.kp,415339,245080,0.0
00Uncorrelated,n00100,R10000,s090.kp,399295,246078,0.0
00Uncorrelated,n00100,R10000,s091.kp,419196,262573,0.0
00Uncorrelated,n00100,R10000,s092.kp,428112,240023,0.0
00Uncorrelated,n00100,R10000,s093.kp,402619,251350,0.0009982585906982422
00Uncorrelated,n00100,R10000,s094.kp,390909,279609,0.0
00Uncorrelated,n00100,R10000,s095.kp,407835,227375,0.0
00Uncorrelated,n00100,R10000,s096.kp,382924,230321,0.0
00Uncorrelated,n00100,R10000,s097.kp,411421,265289,0.0
00Uncorrelated,n00100,R10000,s098.kp,414026,246938,0.0
00Uncorrelated,n00100,R10000,s099.kp,370255,266220,0.0
00Uncorrelated,n00200,R01000,s000.kp,84317,50302,0.0009982585906982422
00Uncorrelated,n00200,R01000,s001.kp,78918,48841,0.0
00Uncorrelated,n00200,R01000,s002.kp,80297,51359,0.0
00Uncorrelated,n00200,R01000,s003.kp,81680,49545,0.0
00Uncorrelated,n00200,R01000,s004.kp,84028,51515,0.0
00Uncorrelated,n00200,R01000,s005.kp,86024,47601,0.0
00Uncorrelated,n00200,R01000,s006.kp,85469,48890,0.0
00Uncorrelated,n00200,R01000,s007.kp,78521,48839,0.0009982585906982422
00Uncorrelated,n00200,R01000,s008.kp,78098,52831,0.0
00Uncorrelated,n00200,R01000,s009.kp,78515,48331,0.0009794235229492188
00Uncorrelated,n00200,R01000,s010.kp,80493,47571,0.0009980201721191406
00Uncorrelated,n00200,R01000,s011.kp,81520,50733,0.0009975433349609375
00Uncorrelated,n00200,R01000,s012.kp,78841,49259,0.0
